epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,39766.7,0.03172,0.87097,0.88457,0.73419,0.76377,0.82939,0.82939,0.11094,0.71212,0.25077,0.001882,0.001882,0.001882
84,40232.9,0.03138,0.86839,0.88499,0.73796,0.76171,0.82929,0.82929,0.11359,0.71546,0.2539,0.001783,0.001783,0.001783
85,40702.7,0.03123,0.86758,0.88537,0.72824,0.76801,0.82919,0.82919,0.11317,0.71626,0.25311,0.001684,0.001684,0.001684
86,41169.3,0.03208,0.86287,0.88526,0.73091,0.7669,0.82906,0.82906,0.11191,0.71607,0.25136,0.001585,0.001585,0.001585
87,41638.7,0.03033,0.85727,0.88481,0.73404,0.76485,0.82894,0.82894,0.11044,0.71474,0.24939,0.001486,0.001486,0.001486
88,42106.6,0.02998,0.84865,0.8831,0.73262,0.76642,0.82901,0.82901,0.11031,0.7149,0.24902,0.001387,0.001387,0.001387
89,42571,0.02968,0.84883,0.88427,0.7212,0.7805,0.82902,0.82902,0.10845,0.71351,0.2466,0.001288,0.001288,0.001288
90,43039.2,0.02947,0.85119,0.8829,0.72333,0.77817,0.82908,0.82908,0.10727,0.71352,0.24511,0.001189,0.001189,0.001189
91,43544.9,0.02289,0.29704,0.89686,0.72711,0.7737,0.82917,0.82917,0.10643,0.71348,0.24394,0.00109,0.00109,0.00109
92,44013.9,0.02169,0.27095,0.89932,0.72636,0.77491,0.82913,0.82913,0.10575,0.71374,0.24299,0.000991,0.000991,0.000991
93,44475.6,0.02092,0.25165,0.89753,0.72606,0.77486,0.82924,0.82924,0.1059,0.71503,0.24303,0.000892,0.000892,0.000892
94,44933.5,0.01992,0.24388,0.89538,0.72678,0.77524,0.82923,0.82923,0.10465,0.71541,0.24129,0.000793,0.000793,0.000793
95,45393.5,0.01999,0.23785,0.89745,0.72516,0.77826,0.82945,0.82945,0.10326,0.71604,0.23941,0.000694,0.000694,0.000694
96,45857.4,0.01997,0.22074,0.89534,0.72735,0.774,0.8295,0.8295,0.1026,0.71735,0.23859,0.000595,0.000595,0.000595
97,46319.9,0.01873,0.21004,0.89511,0.72643,0.77527,0.82949,0.82949,0.10244,0.71879,0.23845,0.000496,0.000496,0.000496
98,46779.6,0.01811,0.19988,0.89631,0.72394,0.77746,0.82945,0.82945,0.10222,0.72061,0.23819,0.000397,0.000397,0.000397
99,47241,0.01864,0.20411,0.89653,0.72364,0.77798,0.82934,0.82934,0.10272,0.7229,0.2388,0.000298,0.000298,0.000298
100,47700.5,0.01753,0.18646,0.8961,0.73179,0.77012,0.82927,0.82927,0.10306,0.72571,0.23926,0.000199,0.000199,0.000199
