epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,30315.3,0.04003,1.0109,0.8864,0.70104,0.77522,0.81383,0.81366,0.18613,0.72939,0.3492,0.003862,0.003862,0.003862
64,30795.8,0.03914,1.01361,0.88507,0.70619,0.76772,0.8142,0.81405,0.18646,0.72968,0.3496,0.003763,0.003763,0.003763
65,31263.3,0.03923,1.0032,0.88517,0.70853,0.76487,0.81457,0.8145,0.18607,0.72968,0.34916,0.003664,0.003664,0.003664
66,31749.4,0.03844,0.99844,0.88469,0.70717,0.76596,0.81495,0.81491,0.18547,0.72963,0.34849,0.003565,0.003565,0.003565
67,32229.7,0.03818,0.99146,0.88668,0.70566,0.77041,0.81529,0.81525,0.18503,0.72962,0.34801,0.003466,0.003466,0.003466
68,32696.5,0.03806,0.99159,0.88564,0.71036,0.76833,0.81561,0.81558,0.18209,0.72904,0.34462,0.003367,0.003367,0.003367
69,33163.6,0.03754,0.99309,0.88627,0.71094,0.76623,0.81622,0.8162,0.1765,0.7303,0.3382,0.003268,0.003268,0.003268
70,33632.6,0.03749,0.98728,0.88602,0.71148,0.76794,0.81697,0.81697,0.17161,0.72931,0.33241,0.003169,0.003169,0.003169
71,34107.5,0.0364,0.97887,0.88459,0.70999,0.77109,0.81794,0.81794,0.16339,0.72763,0.32284,0.00307,0.00307,0.00307
72,34576.5,0.03632,0.98065,0.8855,0.71562,0.767,0.81847,0.81847,0.15467,0.72385,0.31272,0.002971,0.002971,0.002971
73,35057.4,0.03598,0.97111,0.88525,0.73016,0.75071,0.81906,0.81906,0.1429,0.71672,0.299,0.002872,0.002872,0.002872
74,35542,0.03589,0.97585,0.88454,0.72928,0.75232,0.81971,0.81971,0.13991,0.71634,0.29506,0.002773,0.002773,0.002773
75,36023.5,0.03638,0.96637,0.88403,0.72327,0.76518,0.82092,0.82092,0.13418,0.71011,0.28847,0.002674,0.002674,0.002674
76,36506.5,0.03494,0.95781,0.88395,0.71986,0.76376,0.8208,0.8208,0.12853,0.70643,0.28195,0.002575,0.002575,0.002575
77,36989.3,0.03427,0.96039,0.88269,0.7177,0.76714,0.82117,0.82117,0.12458,0.70375,0.27752,0.002476,0.002476,0.002476
78,37470.4,0.03417,0.95301,0.88586,0.72241,0.76372,0.82148,0.82148,0.12218,0.70127,0.27477,0.002377,0.002377,0.002377
79,37953.9,0.03367,0.95476,0.88542,0.71918,0.76793,0.82169,0.82169,0.12031,0.70001,0.2726,0.002278,0.002278,0.002278
80,38440,0.03377,0.95277,0.88593,0.72173,0.7658,0.82203,0.82203,0.11819,0.69875,0.26999,0.002179,0.002179,0.002179
81,38921.5,0.03316,0.94636,0.88421,0.72311,0.76489,0.82228,0.82228,0.11743,0.69775,0.26934,0.00208,0.00208,0.00208
82,39410.9,0.03322,0.94649,0.88569,0.72277,0.76704,0.8225,0.8225,0.11524,0.69683,0.26643,0.001981,0.001981,0.001981
83,39892.8,0.03216,0.93317,0.88477,0.72104,0.76725,0.82234,0.82234,0.1116,0.69357,0.2614,0.001882,0.001882,0.001882
