epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,12122.1,0.02699,0.32534,0.89964,0.73922,0.77369,0.83225,0.83224,0.18995,0.73069,0.33255,0.0050005,0.0050005,0.0050005
103,12374.3,0.02629,0.31569,0.89963,0.74093,0.77221,0.83212,0.83211,0.18903,0.73117,0.33147,0.004951,0.004951,0.004951
104,12627.4,0.02684,0.31223,0.89989,0.7415,0.7724,0.83218,0.83217,0.18834,0.73099,0.33095,0.0049015,0.0049015,0.0049015
105,12880.1,0.02623,0.30829,0.89845,0.74312,0.76991,0.83209,0.83208,0.18759,0.73101,0.33014,0.004852,0.004852,0.004852
106,13132.9,0.027,0.29974,0.8969,0.74349,0.7688,0.83194,0.83194,0.18651,0.73116,0.32896,0.0048025,0.0048025,0.0048025
107,13385,0.0259,0.29955,0.89888,0.7428,0.76831,0.83187,0.83186,0.18615,0.73184,0.32844,0.004753,0.004753,0.004753
108,13638.3,0.02575,0.28665,0.89706,0.74316,0.76735,0.83189,0.83188,0.18546,0.73264,0.32775,0.0047035,0.0047035,0.0047035
109,13892.8,0.02561,0.2906,0.89998,0.74272,0.76889,0.83183,0.83182,0.18523,0.73341,0.32727,0.004654,0.004654,0.004654
110,14145,0.02745,0.2782,0.89884,0.73986,0.77054,0.83165,0.83164,0.18502,0.73361,0.32694,0.0046045,0.0046045,0.0046045
111,14397.8,inf,0.27058,0.89984,0.74129,0.76933,0.83155,0.83154,0.18467,0.73377,0.32635,0.004555,0.004555,0.004555
112,14650.3,0.02615,0.27038,0.90005,0.74128,0.77028,0.83152,0.83151,0.18436,0.73431,0.32578,0.0045055,0.0045055,0.0045055
113,14902.4,0.02556,0.28061,0.90125,0.73997,0.77157,0.83125,0.83125,0.18423,0.73431,0.32544,0.004456,0.004456,0.004456
114,15154.8,0.02585,0.25821,0.89977,0.7383,0.77366,0.83118,0.83117,0.18399,0.73471,0.32508,0.0044065,0.0044065,0.0044065
115,15407.4,0.0256,0.2605,0.89782,0.73377,0.77684,0.83113,0.83112,0.1837,0.73512,0.32467,0.004357,0.004357,0.004357
116,15660.1,0.0247,0.24922,0.8983,0.73102,0.78055,0.83074,0.83073,0.18282,0.73596,0.32382,0.0043075,0.0043075,0.0043075
117,15912.6,0.02503,0.25462,0.89743,0.72826,0.78347,0.83071,0.83071,0.18211,0.7366,0.32299,0.004258,0.004258,0.004258
118,16165.6,inf,0.2434,0.90038,0.73007,0.78151,0.83087,0.83086,0.18152,0.73736,0.32228,0.0042085,0.0042085,0.0042085
119,16417.6,0.02557,0.24163,0.90055,0.72891,0.78191,0.83075,0.83074,0.18038,0.73811,0.32102,0.004159,0.004159,0.004159
120,16670.1,0.02578,0.24042,0.89639,0.7273,0.78352,0.83041,0.8304,0.1793,0.73906,0.31988,0.0041095,0.0041095,0.0041095
121,16922.8,0.02484,0.23595,0.89958,0.72777,0.78267,0.8303,0.83029,0.17814,0.74027,0.31867,0.00406,0.00406,0.00406
122,17175.4,0.02466,0.22374,0.8995,0.72672,0.78246,0.83028,0.83027,0.1771,0.74116,0.31747,0.0040105,0.0040105,0.0040105
123,17427.9,0.02447,0.22389,0.89885,0.72817,0.78121,0.83005,0.83004,0.17643,0.74234,0.31672,0.003961,0.003961,0.003961
124,17680.2,0.02481,0.21345,0.90015,0.734,0.77608,0.82981,0.8298,0.17599,0.74409,0.31599,0.0039115,0.0039115,0.0039115
125,17932.7,0.02447,0.21561,0.89772,0.73476,0.77477,0.82956,0.82955,0.17563,0.74543,0.31535,0.003862,0.003862,0.003862
126,18185.6,0.02462,0.21139,0.89626,0.73646,0.77288,0.82948,0.82947,0.17537,0.74753,0.3153,0.0038125,0.0038125,0.0038125
127,18438.3,0.02422,0.20632,0.90127,0.73227,0.77599,0.82924,0.82923,0.17521,0.74915,0.31491,0.003763,0.003763,0.003763
